"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Wind"
"5/23/1979","-46.5625","-23.573299407959","666","19.501","13.432","1.42976406876386",
"5/24/1979","-46.5625","-23.573299407959","666","15.117","8.65499999999997","2.60446250912156",
"5/25/1979","-46.5625","-23.573299407959","666","19.077","7.34399999999999","1.71721813639142",
"5/26/1979","-46.5625","-23.573299407959","666","22.82","11.377","3.11789236959754",
"5/27/1979","-46.5625","-23.573299407959","666","20.291","8.743","1.9613937738766",
"5/28/1979","-46.5625","-23.573299407959","666","22.114","10.078","3.19880910717017",
"5/29/1979","-46.5625","-23.573299407959","666","22.608","14.512","5.73917565530859",
"5/30/1979","-46.5625","-23.573299407959","666","15.259","5.66800000000001","3.00095520667636",
"5/31/1979","-46.5625","-23.573299407959","666","10.244","-0.480999999999995","2.64960611539712",
"6/1/1979","-46.5625","-23.573299407959","666","15.959","-0.519999999999982","1.48265933612531",
"6/2/1979","-46.5625","-23.573299407959","666","17.167","3.57600000000002","1.913110081993",
"6/3/1979","-46.5625","-23.573299407959","666","20.186","7.596","2.28066772813106",
"6/4/1979","-46.5625","-23.573299407959","666","20.702","7.84199999999998","3.5510012260236",
"6/5/1979","-46.5625","-23.573299407959","666","22.387","12.619","3.18368199104648",
"6/6/1979","-46.5625","-23.573299407959","666","20.159","15.548","1.80063553927699",
"6/7/1979","-46.5625","-23.573299407959","666","23.955","13.05","0.892548841124535",
"6/8/1979","-46.5625","-23.573299407959","666","16.338","13.764","1.95298446381387",
"6/9/1979","-46.5625","-23.573299407959","666","14.533","13.37","1.69007569941711",
"6/10/1979","-46.5625","-23.573299407959","666","17.831","13.526","1.55137624114339",
"6/11/1979","-46.5625","-23.573299407959","666","21.757","10.716","2.02322151889041",
"6/12/1979","-46.5625","-23.573299407959","666","22.782","14.617","3.99417186075536",
"6/13/1979","-46.5625","-23.573299407959","666","21.837","14.511","2.92346779515631",
"6/14/1979","-46.5625","-23.573299407959","666","13.936","9.19","4.00510952865986",
"6/15/1979","-46.5625","-23.573299407959","666","12.406","8.70499999999998","2.93838642000026",
"6/16/1979","-46.5625","-23.573299407959","666","20.569","11.09","1.45138064720908",
"6/17/1979","-46.5625","-23.573299407959","666","21.431","10.845","1.15805782264634",
"6/18/1979","-46.5625","-23.573299407959","666","21.593","6.851","0.990725665250247",
"6/19/1979","-46.5625","-23.573299407959","666","22.766","8.41399999999999","1.08772963936691",
"6/20/1979","-46.5625","-23.573299407959","666","22.917","11.086","1.35518264343838",
"6/21/1979","-46.5625","-23.573299407959","666","22.482","9.65499999999997","1.33593607214664",
"6/22/1979","-46.5625","-23.573299407959","666","23.65","10.534","1.38200272285936",
"6/23/1979","-46.5625","-23.573299407959","666","22.916","10.892","2.20774729719788",
"6/24/1979","-46.5625","-23.573299407959","666","21.754","13.048","3.92146569126391",
"6/25/1979","-46.5625","-23.573299407959","666","17.627","12.099","1.99018291224968",
"6/26/1979","-46.5625","-23.573299407959","666","15.417","13.872","2.48478976867027",
"6/27/1979","-46.5625","-23.573299407959","666","14.705","13.37","3.04082949874204",
"6/28/1979","-46.5625","-23.573299407959","666","16.175","13.639","2.75861477970983",
"6/29/1979","-46.5625","-23.573299407959","666","17.359","12.792","1.76360549795612",
"6/30/1979","-46.5625","-23.573299407959","666","21.248","9.18299999999999","1.12311341714811",
"7/1/1979","-46.5625","-23.573299407959","666","18.394","11.641","1.75904709164485",
"7/2/1979","-46.5625","-23.573299407959","666","20.993","13.569","2.10665153763357",
"7/3/1979","-46.5625","-23.573299407959","666","22.48","13.42","3.57024868452576",
"7/4/1979","-46.5625","-23.573299407959","666","19.572","13.788","2.78029189509113",
"7/5/1979","-46.5625","-23.573299407959","666","20.956","14.354","2.82796363571362",
"7/6/1979","-46.5625","-23.573299407959","666","18.17","14.43","2.1927947684192",
"7/7/1979","-46.5625","-23.573299407959","666","24.424","14.718","1.82366780290745",
"7/8/1979","-46.5625","-23.573299407959","666","24.226","14.198","2.86656392684715",
"7/9/1979","-46.5625","-23.573299407959","666","14.164","12.304","3.26124281836237",
"7/10/1979","-46.5625","-23.573299407959","666","13.068","11.199","3.60697840424536",
"7/11/1979","-46.5625","-23.573299407959","666","11.949","10.336","3.15292487398623",
"7/12/1979","-46.5625","-23.573299407959","666","13.791","8.012","2.50185491372988",
"7/13/1979","-46.5625","-23.573299407959","666","19.449","7.54599999999999","1.44403075405026",
"7/14/1979","-46.5625","-23.573299407959","666","21.397","8.70699999999999","1.85024438825889",
"7/15/1979","-46.5625","-23.573299407959","666","21.433","11.245","2.42407745747034",
"7/16/1979","-46.5625","-23.573299407959","666","18.644","8.74799999999999","2.83274259234219",
"7/17/1979","-46.5625","-23.573299407959","666","16.69","3.00999999999999","1.09207886699907",
"7/18/1979","-46.5625","-23.573299407959","666","20.334","4.28800000000001","1.44110828374483",
"7/19/1979","-46.5625","-23.573299407959","666","24.217","9.05599999999998","2.70323102689576",
"7/20/1979","-46.5625","-23.573299407959","666","14.368","7.71600000000001","4.87208166239762",
"7/21/1979","-46.5625","-23.573299407959","666","13.56","4.15800000000002","6.04929465059298",
"7/22/1979","-46.5625","-23.573299407959","666","19.44","6.048","2.72332328262891",
"7/23/1979","-46.5625","-23.573299407959","666","20.646","7.00299999999999","1.91982605088947",
"7/24/1979","-46.5625","-23.573299407959","666","22.76","12.973","1.4355691676523",
"7/25/1979","-46.5625","-23.573299407959","666","25.438","15.232","2.88010925441723",
"7/26/1979","-46.5625","-23.573299407959","666","21.084","14.211","3.38890900191165",
"7/27/1979","-46.5625","-23.573299407959","666","18.224","12.39","2.50798292763298",
"7/28/1979","-46.5625","-23.573299407959","666","22.623","6.88400000000001","1.34873020004762",
"7/29/1979","-46.5625","-23.573299407959","666","24.407","8.34100000000001","1.36973544569308",
"7/30/1979","-46.5625","-23.573299407959","666","26.201","10.218","1.60519450978099",
"7/31/1979","-46.5625","-23.573299407959","666","26.76","11.971","1.52924754037185",
"8/1/1979","-46.5625","-23.573299407959","666","26.734","12.144","1.67906202556614",
"8/2/1979","-46.5625","-23.573299407959","666","25.549","12.067","2.07925864429458",
"8/3/1979","-46.5625","-23.573299407959","666","25.272","13.803","2.79717063415169",
"8/4/1979","-46.5625","-23.573299407959","666","25.026","13.757","4.42869229203064",
"8/5/1979","-46.5625","-23.573299407959","666","27.403","16.306","2.97963977221392",
"8/6/1979","-46.5625","-23.573299407959","666","27.811","13.516","1.80606721136336",
"8/7/1979","-46.5625","-23.573299407959","666","30.413","16.504","2.24406216078406",
"8/8/1979","-46.5625","-23.573299407959","666","26.08","14.703","1.97370110985705",
"8/9/1979","-46.5625","-23.573299407959","666","26.827","13.016","1.84769969596766",
"8/10/1979","-46.5625","-23.573299407959","666","24.096","14.749","2.07321831984467",
"8/11/1979","-46.5625","-23.573299407959","666","28.208","15.903","2.59919066771257",
"8/12/1979","-46.5625","-23.573299407959","666","20.107","14.179","2.53223973251196",
"8/13/1979","-46.5625","-23.573299407959","666","24.076","14.871","2.06820287817039",
"8/14/1979","-46.5625","-23.573299407959","666","27.765","13.189","2.23441975389789",
"8/15/1979","-46.5625","-23.573299407959","666","24.487","13.629","2.24154785393843",
"8/16/1979","-46.5625","-23.573299407959","666","28.689","12.641","1.57341006902566",
"8/17/1979","-46.5625","-23.573299407959","666","27.75","12.315","2.12723099923313",
"8/18/1979","-46.5625","-23.573299407959","666","27.461","14.066","3.83798570923542",
"8/19/1979","-46.5625","-23.573299407959","666","20.534","13.116","2.84164173724628",
"8/20/1979","-46.5625","-23.573299407959","666","16.698","13.422","2.07629567728834",
"8/21/1979","-46.5625","-23.573299407959","666","17.249","14.767","2.67957494318136",
"8/22/1979","-46.5625","-23.573299407959","666","18.239","14.621","1.91494421601268",
"8/23/1979","-46.5625","-23.573299407959","666","22.389","10.658","1.85327241225331",
"8/24/1979","-46.5625","-23.573299407959","666","25.686","10.429","1.42526630693053",
"8/25/1979","-46.5625","-23.573299407959","666","28.552","12.644","2.53933896899367",
"8/26/1979","-46.5625","-23.573299407959","666","27.405","15.127","3.342585578577",
"8/27/1979","-46.5625","-23.573299407959","666","15.056","11.813","3.33448248181665",
"8/28/1979","-46.5625","-23.573299407959","666","26.763","10.875","2.11408345055453",
"8/29/1979","-46.5625","-23.573299407959","666","28.709","11.041","1.70098595457426",
"8/30/1979","-46.5625","-23.573299407959","666","25.4","15.411","2.10039455096187",
"8/31/1979","-46.5625","-23.573299407959","666","28.661","14.833","3.58052375716552",
"9/1/1979","-46.5625","-23.573299407959","666","29.766","16.72","4.48786108129591",
"9/2/1979","-46.5625","-23.573299407959","666","18.089","13.681","2.34722700399199",
"9/3/1979","-46.5625","-23.573299407959","666","14.355","13.14","3.34511862863749",
"9/4/1979","-46.5625","-23.573299407959","666","14.696","12.127","3.60822844272567",
"9/5/1979","-46.5625","-23.573299407959","666","13.606","10.226","5.17332040550895",
"9/6/1979","-46.5625","-23.573299407959","666","13.312","8.685","4.00864291283503",
"9/7/1979","-46.5625","-23.573299407959","666","19.145","8.70299999999997","2.40979899967345",
"9/8/1979","-46.5625","-23.573299407959","666","18.514","11.549","3.2441422503932",
"9/9/1979","-46.5625","-23.573299407959","666","16.947","11.966","4.58172444061026",
"9/10/1979","-46.5625","-23.573299407959","666","20.86","9.83199999999999","3.10536536308673",
"9/11/1979","-46.5625","-23.573299407959","666","19.712","12.589","1.97880596390673",
"9/12/1979","-46.5625","-23.573299407959","666","20.894","12.265","2.08344911379746",
"9/13/1979","-46.5625","-23.573299407959","666","26.486","12.53","2.60853143910051",
"9/14/1979","-46.5625","-23.573299407959","666","20.696","15.207","2.15356563132618",
"9/15/1979","-46.5625","-23.573299407959","666","17.115","12.36","3.02826949266515",
"9/16/1979","-46.5625","-23.573299407959","666","17.232","13.374","2.4525066630719",
"9/17/1979","-46.5625","-23.573299407959","666","14.896","12.042","3.52411045233542",
