"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"4/20/1979","-58.4375","-34.5013008117676","-9999","21.498","15.431",
"4/21/1979","-58.4375","-34.5013008117676","-9999","19.747","13.325",
"4/22/1979","-58.4375","-34.5013008117676","-9999","18.729","11.876",
"4/23/1979","-58.4375","-34.5013008117676","-9999","20.538","13.786",
"4/24/1979","-58.4375","-34.5013008117676","-9999","20.475","14.862",
"4/25/1979","-58.4375","-34.5013008117676","-9999","19.986","15.917",
"4/26/1979","-58.4375","-34.5013008117676","-9999","20.323","16.145",
"4/27/1979","-58.4375","-34.5013008117676","-9999","22.697","17.041",
"4/28/1979","-58.4375","-34.5013008117676","-9999","22.28","15.837",
"4/29/1979","-58.4375","-34.5013008117676","-9999","19.221","15.623",
"4/30/1979","-58.4375","-34.5013008117676","-9999","15.442","13.861",
"5/1/1979","-58.4375","-34.5013008117676","-9999","16.566","9.39499999999998",
"5/2/1979","-58.4375","-34.5013008117676","-9999","19.938","9.697",
"5/3/1979","-58.4375","-34.5013008117676","-9999","16.122","12.11",
"5/4/1979","-58.4375","-34.5013008117676","-9999","16.43","11.086",
"5/5/1979","-58.4375","-34.5013008117676","-9999","18.226","9.52300000000002",
"5/6/1979","-58.4375","-34.5013008117676","-9999","21.018","10.542",
"5/7/1979","-58.4375","-34.5013008117676","-9999","19.309","10.568",
"5/8/1979","-58.4375","-34.5013008117676","-9999","15.926","12.763",
"5/9/1979","-58.4375","-34.5013008117676","-9999","17.171","11.38",
"5/10/1979","-58.4375","-34.5013008117676","-9999","19.653","11",
"5/11/1979","-58.4375","-34.5013008117676","-9999","21.258","14.718",
"5/12/1979","-58.4375","-34.5013008117676","-9999","20.76","14.12",
"5/13/1979","-58.4375","-34.5013008117676","-9999","19.965","13.032",
"5/14/1979","-58.4375","-34.5013008117676","-9999","20.454","11.922",
"5/15/1979","-58.4375","-34.5013008117676","-9999","21.368","11.602",
"5/16/1979","-58.4375","-34.5013008117676","-9999","21.36","15.118",
"5/17/1979","-58.4375","-34.5013008117676","-9999","17.064","13.623",
"5/18/1979","-58.4375","-34.5013008117676","-9999","18.694","11.217",
"5/19/1979","-58.4375","-34.5013008117676","-9999","21.147","12.11",
"5/20/1979","-58.4375","-34.5013008117676","-9999","22.134","12.413",
