"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"4/20/1979","18.4375","-33.8768005371094","-9999","21.909","14.989",
"4/21/1979","18.4375","-33.8768005371094","-9999","24.474","16.083",
"4/22/1979","18.4375","-33.8768005371094","-9999","25.487","17.573",
"4/23/1979","18.4375","-33.8768005371094","-9999","24.766","17.018",
"4/24/1979","18.4375","-33.8768005371094","-9999","22.627","15.846",
"4/25/1979","18.4375","-33.8768005371094","-9999","21.118","13.174",
"4/26/1979","18.4375","-33.8768005371094","-9999","19.13","13.264",
"4/27/1979","18.4375","-33.8768005371094","-9999","19.929","15.553",
"4/28/1979","18.4375","-33.8768005371094","-9999","22.297","16.437",
"4/29/1979","18.4375","-33.8768005371094","-9999","23.059","16.409",
"4/30/1979","18.4375","-33.8768005371094","-9999","22.909","18.095",
"5/1/1979","18.4375","-33.8768005371094","-9999","18.63","17.481",
"5/2/1979","18.4375","-33.8768005371094","-9999","20.025","16.079",
"5/3/1979","18.4375","-33.8768005371094","-9999","17.383","13.262",
"5/4/1979","18.4375","-33.8768005371094","-9999","15.912","11.37",
"5/5/1979","18.4375","-33.8768005371094","-9999","17.49","11.047",
"5/6/1979","18.4375","-33.8768005371094","-9999","16.045","12.216",
"5/7/1979","18.4375","-33.8768005371094","-9999","17.064","12.475",
"5/8/1979","18.4375","-33.8768005371094","-9999","19.76","11.002",
"5/9/1979","18.4375","-33.8768005371094","-9999","21.858","12.292",
"5/10/1979","18.4375","-33.8768005371094","-9999","24.903","14.804",
"5/11/1979","18.4375","-33.8768005371094","-9999","22.13","15.62",
"5/12/1979","18.4375","-33.8768005371094","-9999","21.644","13.46",
"5/13/1979","18.4375","-33.8768005371094","-9999","21.618","14.442",
"5/14/1979","18.4375","-33.8768005371094","-9999","20.314","14.221",
"5/15/1979","18.4375","-33.8768005371094","-9999","24.451","15.955",
"5/16/1979","18.4375","-33.8768005371094","-9999","22.179","14.685",
"5/17/1979","18.4375","-33.8768005371094","-9999","18.064","14.253",
"5/18/1979","18.4375","-33.8768005371094","-9999","17.248","13.469",
"5/19/1979","18.4375","-33.8768005371094","-9999","19.14","12.967",
"5/20/1979","18.4375","-33.8768005371094","-9999","18.677","13.864",
"5/21/1979","18.4375","-33.8768005371094","-9999","22.537","14.804",
"5/22/1979","18.4375","-33.8768005371094","-9999","18.798","15.117",
"5/23/1979","18.4375","-33.8768005371094","-9999","17.577","15.673",
"5/24/1979","18.4375","-33.8768005371094","-9999","16.844","15.28",
"5/25/1979","18.4375","-33.8768005371094","-9999","19.638","15.907",
"5/26/1979","18.4375","-33.8768005371094","-9999","22.559","14.962",
"5/27/1979","18.4375","-33.8768005371094","-9999","23.348","16.42",
"5/28/1979","18.4375","-33.8768005371094","-9999","22.595","16.446",
"5/29/1979","18.4375","-33.8768005371094","-9999","16.754","15.624",
"5/30/1979","18.4375","-33.8768005371094","-9999","15.776","13.335",
"5/31/1979","18.4375","-33.8768005371094","-9999","15.54","11.868",
"6/1/1979","18.4375","-33.8768005371094","-9999","18.304","11.561",
"6/2/1979","18.4375","-33.8768005371094","-9999","19.83","11.747",
"6/3/1979","18.4375","-33.8768005371094","-9999","22.281","15.056",
"6/4/1979","18.4375","-33.8768005371094","-9999","19.338","15.868",
"6/5/1979","18.4375","-33.8768005371094","-9999","16.712","14.908",
"6/6/1979","18.4375","-33.8768005371094","-9999","18.128","13.301",
"6/7/1979","18.4375","-33.8768005371094","-9999","18.408","11.712",
"6/8/1979","18.4375","-33.8768005371094","-9999","19.413","13.052",
"6/9/1979","18.4375","-33.8768005371094","-9999","16.302","14.836",
"6/10/1979","18.4375","-33.8768005371094","-9999","15.825","13.388",
"6/11/1979","18.4375","-33.8768005371094","-9999","12.899","10.581",
"6/12/1979","18.4375","-33.8768005371094","-9999","13.448","9.94",
"6/13/1979","18.4375","-33.8768005371094","-9999","15.965","7.76799999999997",
"6/14/1979","18.4375","-33.8768005371094","-9999","18.75","9.86099999999999",
"6/15/1979","18.4375","-33.8768005371094","-9999","19.997","12.056",
"6/16/1979","18.4375","-33.8768005371094","-9999","20.861","12.877",
"6/17/1979","18.4375","-33.8768005371094","-9999","21.337","14.677",
"6/18/1979","18.4375","-33.8768005371094","-9999","19.86","12.361",
"6/19/1979","18.4375","-33.8768005371094","-9999","17.666","10.165",
"6/20/1979","18.4375","-33.8768005371094","-9999","18.951","13.084",
"6/21/1979","18.4375","-33.8768005371094","-9999","22.427","14.084",
"6/22/1979","18.4375","-33.8768005371094","-9999","20.063","14.425",
"6/23/1979","18.4375","-33.8768005371094","-9999","18.908","13.992",
"6/24/1979","18.4375","-33.8768005371094","-9999","15.883","12.759",
"6/25/1979","18.4375","-33.8768005371094","-9999","15.202","13.018",
"6/26/1979","18.4375","-33.8768005371094","-9999","14.564","11.871",
"6/27/1979","18.4375","-33.8768005371094","-9999","14.03","11.933",
"6/28/1979","18.4375","-33.8768005371094","-9999","17.19","11.881",
"6/29/1979","18.4375","-33.8768005371094","-9999","16.558","11.174",
"6/30/1979","18.4375","-33.8768005371094","-9999","18.028","10.603",
"7/1/1979","18.4375","-33.8768005371094","-9999","19.155","12.361",
"7/2/1979","18.4375","-33.8768005371094","-9999","21.599","12.147",
"7/3/1979","18.4375","-33.8768005371094","-9999","20.999","13.778",
"7/4/1979","18.4375","-33.8768005371094","-9999","17.555","13.395",
"7/5/1979","18.4375","-33.8768005371094","-9999","17.439","13.735",
"7/6/1979","18.4375","-33.8768005371094","-9999","13.875","11.723",
"7/7/1979","18.4375","-33.8768005371094","-9999","13.639","10.16",
"7/8/1979","18.4375","-33.8768005371094","-9999","15.181","8.52300000000002",
"7/9/1979","18.4375","-33.8768005371094","-9999","16.976","8.13400000000001",
"7/10/1979","18.4375","-33.8768005371094","-9999","20.39","11.473",
"7/11/1979","18.4375","-33.8768005371094","-9999","21.539","14.435",
"7/12/1979","18.4375","-33.8768005371094","-9999","17.661","13.959",
"7/13/1979","18.4375","-33.8768005371094","-9999","14.398","12.684",
"7/14/1979","18.4375","-33.8768005371094","-9999","14.448","11.095",
"7/15/1979","18.4375","-33.8768005371094","-9999","16.56","10.404",
